id,exam,question_type,question,ground_truth_answer,ground_truth_ref,ground_truth_doc_id
C1_001,C1,with_ref,¿Quién nombrará al Presidente del Tribunal Supremo de acuerdo con lo previsto en el artículo 123 de la Constitución Española de 1978?,"El Rey, a propuesta del Consejo del Poder Judicial, en la forma que determine la ley.",Artículo 123.,doc015
C1_002,C1,with_ref,"Conforme al artículo 5 de la Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales, ¿quiénes están sujetos al deber de confidencialidad?","Los responsables y encargados del tratamiento de datos, así como todas las personas que intervengan en cualquier fase de este.",Artículo 5.,doc121
C1_003,C1,with_ref,"De acuerdo con el artículo 5 del Real Decreto Legislativo 4/2000, de 23 de junio, por el que se aprueba el texto refundido de la Ley sobre Seguridad Social de los Funcionarios Civiles del Estado, ¿cómo se integra en el Sector Público Institucional Estatal la Mutualidad General de Funcionarios Civiles del Estado (MUFACE)?",Como organismo público.,Artículo 5.,doc223
C1_004,C1,with_ref,"De conformidad con el artículo 58 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, ¿mediante qué se financiarán las incorporaciones de crédito que afecten al presupuesto del Estado?",Baja en el Fondo de Contingencia o baja en otros créditos de operaciones no financieras.,Artículo 58.,doc107
C1_005,C1,with_ref,"Según el Real Decreto 208/1996, de 9 de febrero, por el que se regulan los servicios de información administrativa y atención al ciudadano, ¿quién ostentará la jefatura de la unidad departamental de información administrativa en cada Ministerio? ",El titular de la Subdirección General que tenga encomendada la competencia sobre la información administrativa. ,Artículo 5.,doc207
C1_006,C1,with_ref,"Según el artículo 10 del texto refundido de la Ley del Estatuto Básico del Empleado Público, ¿en qué circunstancia se puede nombrar a un funcionario interino?","Para la sustitución transitoria de los titulares, durante el tiempo estrictamente necesario.",Artículo 10.,doc220
C1_007,C1,with_ref,"El Real Decreto 364/1995, de 10 de marzo, por el que se aprueba el Reglamento General de Ingreso del Personal al servicio de la Administración General del Estado y de Provisión de Puestos de Trabajo y Promoción Profesional de los Funcionarios Civiles de la Administración General del Estado, ¿qué órganos de selección establece en su artículo 10?",Los Tribunales y las Comisiones Permanentes de Selección. ,Artículo 10.,doc199
C1_008,C1,with_ref,"De acuerdo con lo establecido en la Ley Orgánica 2/1979, de 3 de octubre, del Tribunal Constitucional, ¿cuántos miembros deben estar presentes para que el Tribunal en Pleno puede adoptar acuerdos?","Al menos, dos tercios de los miembros que en cada momento lo compongan.",Artículo catorce.,doc128
C1_009,C1,with_ref,"¿Cómo define el acoso discriminatorio La Ley 4/2023, de 28 de febrero, para la igualdad real y efectiva de las personas trans y para la garantía de los derechos de las personas LGTBI?","Cualquier conducta realizada por razón de alguna de las causas de discriminación previstas en esta ley, con el objetivo o la consecuencia de atentar contra la dignidad de una persona o grupo en que se integra y de crear un entorno intimidatorio, hostil, degradante, humillante u ofensivo",Artículo 3.,doc136
C1_010,C1,with_ref,"Según el artículo 133 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, ¿cuándo podrá prescindirse del trámite de consulta pública?",Cuando concurran razones graves de interés público que lo justifiquen.,Artículo 133.,doc095
C1_011,C1,with_ref,"Según el Real Decreto 365/1995, de 10 de marzo, por el que se aprueba el Reglamento de Situaciones Administrativas de los Funcionarios Civiles de la Administración General del Estado, ¿en qué situación quedará el funcionario declarado en suspensión firme de funciones de no solicitar el reingreso en el tiempo establecido? ","En la situación de excedencia voluntaria por interés particular, con efectos desde la fecha de finalización de la sanción. ",Artículo 22.,doc195
C1_012,C1,with_ref,"Conforme a la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, ¿qué se considera la situación en que una disposición, criterio o práctica aparentemente neutros pone a personas de un sexo en desventaja particular con respecto a personas del otro, salvo que dicha disposición, criterio o práctica puedan justificarse objetivamente en atención a una finalidad legítima y que los medios para alcanzar dicha finalidad sean necesarios y adecuados?",Discriminación indirecta por razón de sexo.,Artículo 6.,doc130
C1_013,C1,with_ref,"De acuerdo con la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿cuál es la definición de los organismos autónomos estatales?","Son entidades de derecho público, con personalidad jurídica propia, tesorería y patrimonio propios y autonomía en su gestión, que desarrollan actividades propias de la Administración Pública, en calidad de organizaciones instrumentales diferenciadas y dependientes de ésta.",Artículo 98.,doc082
C1_014,C1,with_ref,"Según lo establecido en la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, ¿la coordinación de la prestación del servicio de recogida y tratamiento de residuos es competencia de la Diputación provincial o entidad equivalente en municipios con qué población?",Población inferior a 20.000 habitantes.,Artículo 26.,doc148
C1_015,C1,with_ref,"Según el artículo 18 de la ley 50/1997, de 27 de noviembre, del Gobierno que regula el funcionamiento del Consejo de Ministros, ¿quién actúa como Secretario de las reuniones de este órgano colegiado? ",El Ministro de la Presidencia.,Artículo 18.,doc091
C1_016,C1,standard,¿Cómo deberan ser aprobados los proyectos de reforma constitucional?,Por mayoría de tres quintos de cada una de las Cámaras.,Artículo 167.,doc015
C1_017,C1,standard,¿A qué municipios se les aplicará el régimen de organización de los municipios de gran población?,"A los municipios que sean capitales de provincia, capitales autonómicas o sedes de las instituciones autonómicas cuando así lo decidan las Asambleas Legislativas correspondientes a iniciativa de los respectivos ayuntamientos.",Artículo 121.,doc148
C1_018,C1,standard,"Antes de dictar resolución, el órgano competente para resolver podrá decidir, mediante acuerdo motivado, la realización de actuaciones complementarias indispensables para resolver el procedimiento. ¿En qué plazo se deberán practicar dichas actuaciones complementarias?",No superior a quince días.,Artículo 87.,doc095
C1_019,C1,standard,"¿A quién le corresponde fijar el importe de las indemnizaciones que proceda abonar cuando el Tribunal Constitucional haya declarado, a instancia de parte interesada, la existencia de un funcionamiento anormal en la tramitación de los recursos de amparo o de las cuestiones de inconstitucionalidad?",Al Consejo de Ministros.,Artículo 32.,doc082
C1_020,C1,standard,"En el supuesto de jubilación parcial del personal laboral sujeto al IV Convenio único que tenga reconocida una discapacidad en grado igual o superior al 33 por ciento, ¿qué período de cotización mínimo se deberá acreditar para acceder a la prestación?",Veinticinco años.,Artículo 215.,doc223
C1_021,C1,standard,¿Cuándo deberán justificar los Cajeros pagadores la aplicación de las cantidades recibidas?,Dentro del mes siguiente a la inversión de las mismas y en todo caso en el plazo de tres meses desde la percepción de los correspondientes fondos,Artículo 10.,doc166
